iter	Passed	Remaining
3391	68929	2827523392	69099	2825533393	69237	2822203394	69421	2820803395	69585	2818553396	69758	2816713397	69950	2815583398	70145	2814593399	70313	2812524400	70467	2809924401	70712	2810924402	70902	2809704403	71053	2806964404	71225	2805064405	71391	2802924406	71565	2801074407	71696	279756408	71898	279684
409	72082	279540
410	72231	279258
411	72458	279281
412	72644	279145
413	72784	278830
414	72950	278616
415	73133	278468
416	73297	278247
417	73451	277991
418	73625	277807
419	73807	277655
420	73982	277476
421	74135	277216
422	74280	276928
423	74456	276752
424	74608	276489
425	74784	276317
426	74986	276237
427	75148	276011
428	75306	275773
429	75495	275647
430	75699	275575
431	75906	275513
432	76097	275393
433	76259	275167
434	76424	274953
435	76611	274816
436	76759	274541
437	76924	274327
438	77134	274275
439	77266	273944
440	77431	273730
441	77576	273447
442	77758	273295
443	77935	273124
444	78097	272902
445	78281	272754
446	78432	272495
447	78594	272273
448	78749	272026
449	78918	271828
450	79104	271691
451	79298	271580
452	79532	271603
453	79676	271319
454	79881	271247
455	80060	271080
456	80218	270847
457	80401	270697
458	80546	270418
459	80732	270277
460	80914	270123
461	81049	269813
462	81218	269616
463	81350	269298
464	81512	269078
465	81632	268720
466	81779	268454
467	81947	268255
468	82131	268107
469	82330	268010
470	82489	267783
471	82660	267595
472	82837	267426
473	83002	267219
474	83176	267039
475	83341	266833
476	83536	266722
477	83709	266539
478	83860	266289
479	84066	266209
480	84200	265904
481	84348	265644
482	84543	265533
483	84677	265231
484	84809	264921
485	84959	264667
486	85140	264511
487	85301	264296
4488	85500	2641944489	85645	2639284490	85780	2636324491	85961	2634764492	86108	2632144493	86269	2629984494	86415	262737495	86553	262453
496	86694	262176
4497	86859	2619724498	87015	2617454499	87160	261480500	87307	261224
5501	87476	261036502	87596	260698
5503	87748	2604595504	87904	2602335505	88047	259967506	88180	259672
507	88335	259442
508	88521	259304
509	88690	259115
510	88860	258931
511	89014	258699
512	89152	258419
513	89281	258116
514	89470	257986
515	89618	257740
516	89766	257491
517	89948	257343
518	90077	257041
519	90222	256786
520	90401	256630
521	90545	256372
522	90680	256089
523	90850	255908
524	90990	255639
525	91158	255451
526	91299	255189
527	91446	254940
528	91585	254673
529	91755	254492
530	91895	254226
531	92016	253910
532	92179	253708
533	92341	253507
534	92500	253295
535	92622	252984
536	92760	252715
537	92928	252530
538	93064	252259
539	93193	251967
540	93326	251687
541	93456	251401
542	93619	251203
543	93751	250922
544	93882	250640
545	93987	250287
546	94136	250054
547	94243	249711
548	94360	249394
549	94479	249081
550	94599	248775
551	94719	248466
552	94841	248165
553	95007	247980
554	95120	247655
555	95219	247296
556	95335	246983
557	95464	246701
558	95609	246464
559	95733	246172
560	95847	245854
561	95960	245536
562	96085	245247
563	96199	244934
564	96321	244639
565	96443	244346
566	96560	244039
567	96674	243729
568	96794	243431
569	96905	243112
570	97045	242867
571	97172	242592
572	97278	242261
573	97385	241937
574	97516	241670
575	97632	241368
576	97757	241089
577	97863	240764
578	97973	240448
579	98093	240160
580	98216	239877
581	98329	239571
582	98448	239282
583	98563	238982
584	98666	238655
585	98787	238371
586	98902	238073
587	99026	237797
588	99138	237494
589	99260	237214
590	99390	236955
591	99499	236647
592	99609	236341
593	99738	236082
594	99855	235793
595	99974	235510
596	100078	235193
597	100181	234872
598	100294	234578
599	100410	234290
600	100521	233993
601	100638	233709
602	100762	233440
603	100881	233162
604	100986	232853
605	101111	232589
606	101209	232265
607	101321	231973
608	101436	231688
609	101541	231381
610	101651	231087
611	101752	230771
612	101858	2304696613	101970	230180
614	102080	229888
615	102183	229581
616	102304	229315
617	102416	229027
618	102520	2287246619	102629	2284346620	102719	2281006621	102830	2278146622	102926	2274946623	103033	2272016624	103150	2269306625	103288	2267056626	103447	2265296627	103549	2262266628	103656	2259346629	103757	2256316630	103879	2253746631	103984	2250806632	104084	2247776633	104191	2244896634	104303	2242126635	104422	2239496636	104536	2236776637	104638	2233816638	104752	2231116639	104873	2228566640	104993	2226006641	105119	2223556642	105262	2221486643	105375	2218776644	105478	2215856645	105589	2213136646	105718	2210766647	105830	2208066648	105939	2205316649	106076	2203136650	106210	2200896651	106361	2199006652	106497	2196826653	106639	2194746654	106782	2192706655	106935	2190866656	107071	2188696657	107180	2185966658	107308	2183626659	107448	2181526660	107561	2178906661	107698	2176756662	107833	2174566663	107966	2172336664	108115	217043665	108255	216836
6666	108402	216642667	108544	216438
6668	108679	2162226669	108796	2159696670	108935	2157616671	109060	2155246672	109218	2153546673	109422	2152726674	109593	2151276675	109760	2149756676	109962	2148906677	110124	2147256678	110285	2145606679	110441	2143866680	110617	214250
681	110785	214098
682	110944	213929
683	111116	213785
684	111274	213615
685	111446	213470
686	111622	213334
687	111792	213184
688	111962	213036
689	112115	212857
690	112324	212783
691	112534	212709
692	112698	212550
693	112847	212360
694	112985	212153
695	113149	211993
696	113314	211835
